Date,Yield,Weight
2022-09-11,112.0,96.8
2022-09-18,112.6,96.7
2022-09-25,111.0,98.5
2022-10-02,109.9,102.6
2022-10-09,109.0,94.0
2022-10-16,108.0,100.5
2022-10-23,109.0,104.5
2022-10-30,109.7,103.4
2022-11-06,108.5,97.9
2022-11-13,109.9,99.3
2022-11-20,111.3,101.0
2022-11-27,109.5,99.1
2022-12-04,109.7,102.4
2022-12-11,110.6,100.4
2022-12-18,110.1,100.5
2022-12-25,110.7,89.7
2023-01-01,108.7,69.6
2023-01-08,109.2,70.6
2023-01-15,111.8,88.6
2023-01-22,111.4,87.7
2023-01-29,107.7,75.2
2023-02-05,108.5,88.9
2023-02-12,107.2,90.8
2023-02-19,106.5,93.3
2023-02-26,106.4,96.6
2023-03-05,105.5,100.7
2023-03-12,106.0,99.1
2023-03-19,106.6,100.4
2023-03-26,107.1,99.4
2023-04-09,105.9,91.9
2023-04-16,105.3,89.7
2023-04-23,105.3,94.8
2023-04-30,106.5,95.2
2023-05-07,102.9,82.4
2023-05-14,104.7,95.3
2023-05-21,103.8,94.0
2023-05-28,103.9,98.7
2023-06-11,103.1,95.3
2023-06-18,102.5,97.1
2023-06-25,101.8,96.3
2023-07-02,102.1,90.3
2023-07-09,101.9,91.4
2023-07-16,103.0,96.4
2023-07-23,102.6,96.0
2023-07-30,101.5,97.4
2023-08-06,100.9,97.8
2023-08-13,100.6,97.7
2023-08-20,99.9,92.5
2023-08-27,100.5,97.1
2023-09-03,100.2,94.4
2023-09-10,100.0,100.0
2023-09-17,100.8,104.0
2023-09-24,100.6,105.7
2023-10-01,100.7,107.8
2023-10-08,99.4,91.4
2023-10-15,100.8,105.9
2023-10-22,100.3,111.4
2023-10-29,101.0,111.5
2023-11-05,101.0,107.8
2023-11-12,102.1,112.1
2023-11-19,103.1,111.6
2023-11-26,103.2,110.2
2023-12-03,104.1,116.0
2023-12-10,103.7,114.4
2023-12-17,103.2,114.4
2023-12-24,103.0,108.8
2023-12-31,103.5,78.6
2024-01-07,100.4,78.3
2024-01-14,102.1,101.2
2024-01-21,101.5,108.1
2024-01-28,102.9,112.9
2024-02-04,100.2,116.2
2024-02-11,99.6,102.4
2024-02-18,97.3,92.6
2024-02-25,98.9,104.3
2024-03-03,98.9,113.7
2024-03-10,100.2,114.1
2024-03-17,100.5,116.8
2024-03-24,100.5,118.4
2024-03-31,101.1,113.3
2024-04-07,99.8,106.8
2024-04-14,100.8,104.2
2024-04-21,100.6,109.9
2024-04-28,100.8,113.5
2024-05-05,99.1,104.0
2024-05-12,100.2,105.1
2024-05-19,101.1,113.5
2024-05-26,100.7,110.4
2024-06-02,100.6,111.6
2024-06-09,100.8,114.3
2024-06-16,100.1,112.0
2024-06-23,100.9,108.2
2024-06-30,101.1,111.7
2024-07-07,100.6,109.5
2024-07-14,101.0,111.0
2024-07-21,101.6,107.8
2024-08-04,101.1,110.2
2024-08-11,102.6,107.6
2024-08-18,101.1,103.0
2024-08-25,103.3,108.6
2024-09-01,103.4,109.3
2024-09-08,104.2,107.1
